Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,,"Specialist-in-training","Number of Practitioners",20,
,,,,"FTE Total",16.2,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",8.5,
,,,"Medical practitioner working in General Practice","Number of Practitioners",41,
,,,,"FTE Total",32.4,
,,"Armadale","General practitioner (GP)","Number of Practitioners",76,
,,,,"FTE Total",73.0,
,,,"Hospital non-specialist","Number of Practitioners",69,
,,,,"FTE Total",70.3,
,,,"Specialist","Number of Practitioners",102,
,,,,"FTE Total",106.9,
,,,"Specialist-in-training","Number of Practitioners",38,
,,,,"FTE Total",39.5,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",5.7,
,,,"Non-clinician","Number of Practitioners",3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",14,
,,,,"FTE Total",10.4,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",68,
,,,,"FTE Total",56.8,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.5,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",20.5,
,,,"Specialist-in-training","Number of Practitioners",10,
,,,,"FTE Total",9.4,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",4.5,
,,,"Medical practitioner working in General Practice","Number of Practitioners",21,
,,,,"FTE Total",16.9,
,,"Canning","General practitioner (GP)","Number of Practitioners",166,
,,,,"FTE Total",139.3,
,,,"Hospital non-specialist","Number of Practitioners",26,
,,,,"FTE Total",26.8,
,,,"Specialist","Number of Practitioners",56,
,,,,"FTE Total",53.5,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",27.1,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.4,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.1,
,,,"Medical practitioner working in General Practice","Number of Practitioners",33,
,,,,"FTE Total",32.0,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",83,
,,,,"FTE Total",77.2,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",13,
,,,,"FTE Total",11.8,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",27,
,,,,"FTE Total",23.3,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",47,
,,,,"FTE Total",45.1,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",6.7,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",15,
,,,,"FTE Total",14.0,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",19,
,,,,"FTE Total",16.9,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",4,
,,,,"FTE Total",3.5,
,,"South Perth","General practitioner (GP)","Number of Practitioners",42,
,,,,"FTE Total",33.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",37,
,,,,"FTE Total",36.5,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",5.6,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",5,
,,,,"FTE Total",3.8,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",121,
,,,,"FTE Total",106.2,
,,,"Hospital non-specialist","Number of Practitioners",7,
,,,,"FTE Total",8.8,
,,,"Specialist","Number of Practitioners",45,
,,,,"FTE Total",44.1,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",21.7,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",9.3,
,,,"Non-clinician","Number of Practitioners",3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",16,
,,,,"FTE Total",15.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",73,
,,,,"FTE Total",53.7,
,,,"Hospital non-specialist","Number of Practitioners",50,
,,,,"FTE Total",52.7,
,,,"Specialist","Number of Practitioners",86,
,,,,"FTE Total",82.5,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",33.2,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",6.8,
,,,"Non-clinician","Number of Practitioners",9,
,,,,"FTE Total",6.6,
,,,"Medical practitioner working in General Practice","Number of Practitioners",13,
,,,,"FTE Total",10.6,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",26,
,,,,"FTE Total",25.3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.2,
,,,"Other clinician","FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",7,
,,,,"FTE Total",6.7,
,,"Melville","General practitioner (GP)","Number of Practitioners",164,
,,,,"FTE Total",132.0,
,,,"Hospital non-specialist","Number of Practitioners",320,
,,,,"FTE Total",375.7,
,,,"Specialist","Number of Practitioners",782,
,,,,"FTE Total",817.8,
,,,"Specialist-in-training","Number of Practitioners",263,
,,,,"FTE Total",295.5,
,,,"Other clinician","Number of Practitioners",48,
,,,,"FTE Total",45.7,
,,,"Non-clinician","Number of Practitioners",9,
,,,,"FTE Total",4.9,
,,,"Medical practitioner working in General Practice","Number of Practitioners",32,
,,,,"FTE Total",26.0,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",126,
,,,,"FTE Total",117.0,
,,,"Hospital non-specialist","Number of Practitioners",73,
,,,,"FTE Total",76.3,
,,,"Specialist","Number of Practitioners",130,
,,,,"FTE Total",127.4,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",28.4,
,,,"Other clinician","Number of Practitioners",17,
,,,,"FTE Total",20.0,
,,,"Non-clinician","FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",19,
,,,,"FTE Total",18.1,
,,"Albany","General practitioner (GP)","Number of Practitioners",88,
,,,,"FTE Total",84.0,
,,,"Hospital non-specialist","Number of Practitioners",37,
,,,,"FTE Total",42.0,
,,,"Specialist","Number of Practitioners",62,
,,,,"FTE Total",64.0,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",29.7,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.1,
,,,"Non-clinician","FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",13,
,,,,"FTE Total",11.3,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",35,
,,,,"FTE Total",32.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",21,
,,,,"FTE Total",21.6,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",11.2,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",12,
,,,,"FTE Total",10.8,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",12,
,,,,"FTE Total",14.7,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",3.9,
,,,"Medical practitioner working in General Practice","Number of Practitioners",4,
,,,,"FTE Total",4.8,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",96,
,,,,"FTE Total",101.0,
,,,"Hospital non-specialist","Number of Practitioners",31,
,,,,"FTE Total",35.5,
,,,"Specialist","Number of Practitioners",60,
,,,,"FTE Total",66.0,
,,,"Specialist-in-training","Number of Practitioners",30,
,,,,"FTE Total",32.9,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",9.5,
,,,"Non-clinician","Number of Practitioners",6,
,,,,"FTE Total",6.1,
,,,"Medical practitioner working in General Practice","Number of Practitioners",17,
,,,,"FTE Total",15.8,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",25,
,,,,"FTE Total",29.2,
,,,"Hospital non-specialist","Number of Practitioners",13,
,,,,"FTE Total",15.9,
,,,"Specialist","Number of Practitioners",25,
,,,,"FTE Total",31.6,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.9,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,,"Medical practitioner working in General Practice","Number of Practitioners",6,
,,,,"FTE Total",8.3,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",38,
,,,,"FTE Total",44.1,
,,,"Hospital non-specialist","Number of Practitioners",7,
,,,,"FTE Total",8.0,
,,,"Specialist","Number of Practitioners",19,
,,,,"FTE Total",23.9,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",6.2,
,,,"Other clinician","Number of Practitioners",3,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,"Esperance","General practitioner (GP)","Number of Practitioners",21,
,,,,"FTE Total",20.2,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",3.9,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,,"Medical practitioner working in General Practice","Number of Practitioners",5,
,,,,"FTE Total",6.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",24,
,,,,"FTE Total",26.3,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.1,
,,,"Specialist-in-training","FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",39.0,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",22.2,
,,,"Specialist","Number of Practitioners",51,
,,,,"FTE Total",54.7,
,,,"Specialist-in-training","Number of Practitioners",13,
,,,,"FTE Total",13.9,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",4.5,
,,,"Medical practitioner working in General Practice","Number of Practitioners",10,
,,,,"FTE Total",11.0,
,,"Mid West","General practitioner (GP)","Number of Practitioners",54,
,,,,"FTE Total",57.5,
,,,"Hospital non-specialist","Number of Practitioners",16,
,,,,"FTE Total",18.8,
,,,"Specialist","Number of Practitioners",91,
,,,,"FTE Total",95.4,
,,,"Specialist-in-training","Number of Practitioners",17,
,,,,"FTE Total",17.0,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",8.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Medical practitioner working in General Practice","Number of Practitioners",15,
,,,,"FTE Total",13.7,

